w,arg,theory
628318.5307,-86.4,89.51251973
1.26E+06,-8.64E+01,89.0001311
3.14E+06,8.28E+01,86.95643433
3.77E+06,8.21E+01,85.87865698
4.40E+06,2.77E+02,84.33310286
5.03E+06,-7.78E+01,81.84971659
5.65E+06,-7.13E+01,77.07509894
6.28E+06,-5.04E+01,64.12618201
6.41E+06,-4.85E+01,58.52821927
6.60E+06,-3.18E+01,45.22875582
6.66E+06,-2.59E+01,38.78696284
6.72E+06,-1.85E+01,31.01703163
6.79E+06,-1.01E+01,21.84187218
6.85E+06,,11.43412802
6.91E+06,5.54E+00,0.3163597776
6.97E+06,1.28E+01,-10.72651126
7.04E+06,1.94E+01,-20.93939061
7.10E+06,2.60E+01,-29.86371873
7.16E+06,3.20E+01,-37.38246056
7.23E+06,3.81E+01,-43.60226184
7.54E+06,5.36E+01,-61.87936459
9.42E+06,7.99E+01,-81.61364377
1.26E+07,8.93E+01,-85.81089909