time,volt,volt_1
-3.0000002589e-03,2.28e+00,7.99e-02
-2.9900001828e-03,2.40e+00,0.00e+00
-2.9800001066e-03,2.36e+00,8.00e-03
-2.9700002633e-03,2.32e+00,1.60e-02
-2.9600001872e-03,2.36e+00,8.00e-03
-2.9500001110e-03,2.32e+00,2.40e-02
-2.9400002677e-03,2.32e+00,3.20e-02
-2.9300001916e-03,2.28e+00,-8.00e-03
-2.9200001154e-03,2.32e+00,8.00e-03
-2.9100002721e-03,2.24e+00,0.00e+00
-2.9000001960e-03,2.28e+00,2.40e-02
-2.8900001198e-03,2.24e+00,0.00e+00
-2.8800002765e-03,2.24e+00,0.00e+00
-2.8700002003e-03,2.28e+00,1.60e-02
-2.8600001242e-03,2.24e+00,8.00e-03
-2.8500002809e-03,2.28e+00,3.20e-02
-2.8400002047e-03,2.24e+00,8.00e-03
-2.8300001286e-03,2.24e+00,2.40e-02
-2.8200002853e-03,2.24e+00,2.40e-02
-2.8100002091e-03,2.20e+00,0.00e+00
-2.8000001330e-03,2.20e+00,8.00e-03
-2.7900002897e-03,2.24e+00,1.60e-02
-2.7800002135e-03,2.20e+00,1.60e-02
-2.7700001374e-03,2.24e+00,0.00e+00
-2.7600002941e-03,2.20e+00,0.00e+00
-2.7500002179e-03,2.20e+00,1.60e-02
-2.7400001418e-03,2.20e+00,1.60e-02
-2.7300000656e-03,2.20e+00,-8.00e-03
-2.7200002223e-03,2.20e+00,-8.00e-03
-2.7100001462e-03,2.16e+00,2.40e-02
-2.7000000700e-03,2.20e+00,1.60e-02
-2.6900002267e-03,2.20e+00,0.00e+00
-2.6800001506e-03,2.20e+00,0.00e+00
-2.6700000744e-03,2.20e+00,1.60e-02
-2.6600002311e-03,2.20e+00,1.60e-02
-2.6500001550e-03,2.16e+00,0.00e+00
-2.6400000788e-03,2.20e+00,-8.00e-03
-2.6300002355e-03,2.16e+00,2.40e-02
-2.6200001594e-03,2.20e+00,1.60e-02
-2.6100000832e-03,2.16e+00,0.00e+00
-2.6000002399e-03,2.20e+00,2.40e-02
-2.5900001638e-03,2.16e+00,-8.00e-03
-2.5800000876e-03,2.20e+00,1.60e-02
-2.5700002443e-03,2.16e+00,0.00e+00
-2.5600001682e-03,2.20e+00,1.60e-02
-2.5500000920e-03,2.16e+00,-8.00e-03
-2.5400002487e-03,2.16e+00,1.60e-02
-2.5300001726e-03,2.20e+00,-8.00e-03
-2.5200000964e-03,2.20e+00,0.00e+00
-2.5100002531e-03,2.16e+00,2.40e-02
-2.5000001770e-03,2.16e+00,-1.60e-02
-2.4900001008e-03,-2.92e+00,1.60e-02
-2.4800002575e-03,-2.44e+00,0.00e+00
-2.4700001813e-03,-2.40e+00,1.60e-02
-2.4600001052e-03,-2.40e+00,2.40e-02
-2.4500002619e-03,-2.40e+00,0.00e+00
-2.4400001857e-03,-2.40e+00,1.60e-02
-2.4300001096e-03,-2.36e+00,8.00e-03
-2.4200002663e-03,-2.32e+00,3.20e-02
-2.4100001901e-03,-2.40e+00,8.00e-03
-2.4000001140e-03,-2.36e+00,1.60e-02
-2.3900002707e-03,-2.32e+00,0.00e+00
-2.3800001945e-03,-2.32e+00,3.20e-02
-2.3700001184e-03,-2.28e+00,8.00e-03
-2.3600000422e-03,-2.36e+00,0.00e+00
-2.3500001989e-03,-2.32e+00,1.60e-02
-2.3400001228e-03,-2.32e+00,1.60e-02
-2.3300000466e-03,-2.28e+00,0.00e+00
-2.3200002033e-03,-2.32e+00,0.00e+00
-2.3100001272e-03,-2.28e+00,2.40e-02
-2.3000000510e-03,-2.20e+00,8.00e-03
-2.2900002077e-03,-2.32e+00,1.60e-02
-2.2800001316e-03,-2.28e+00,1.60e-02
-2.2700000554e-03,-2.28e+00,0.00e+00
-2.2600002121e-03,-2.28e+00,1.60e-02
-2.2500001360e-03,-2.20e+00,0.00e+00
-2.2400000598e-03,-2.20e+00,1.60e-02
-2.2300002165e-03,-2.32e+00,0.00e+00
-2.2200001404e-03,-2.28e+00,0.00e+00
-2.2100000642e-03,-2.20e+00,2.40e-02
-2.2000002209e-03,-2.28e+00,1.60e-02
-2.1900001448e-03,-2.20e+00,0.00e+00
-2.1800000686e-03,-2.20e+00,1.60e-02
-2.1700002253e-03,-2.28e+00,0.00e+00
-2.1600001492e-03,-2.20e+00,1.60e-02
-2.1500000730e-03,-2.28e+00,0.00e+00
-2.1400002297e-03,-2.20e+00,1.60e-02
-2.1300001536e-03,-2.32e+00,-3.20e-02
-2.1200000774e-03,-2.20e+00,1.60e-02
-2.1100002341e-03,-2.28e+00,0.00e+00
-2.1000001580e-03,-2.20e+00,1.60e-02
-2.0900000818e-03,-2.28e+00,-8.00e-03
-2.0800002385e-03,-2.28e+00,0.00e+00
-2.0700001623e-03,-2.16e+00,2.40e-02
-2.0600000862e-03,-2.20e+00,0.00e+00
-2.0500002429e-03,-2.20e+00,1.60e-02
-2.0400001667e-03,-2.20e+00,1.60e-02
-2.0300000906e-03,-2.28e+00,0.00e+00
-2.0200002473e-03,-2.28e+00,3.20e-02
-2.0100001711e-03,-2.16e+00,0.00e+00
-2.0000000950e-03,2.28e+00,7.99e-02
-1.9900000188e-03,2.44e+00,8.00e-03
-1.9800001755e-03,2.36e+00,1.60e-02
-1.9700000994e-03,2.32e+00,8.00e-03
-1.9600000232e-03,2.36e+00,2.40e-02
-1.9500001799e-03,2.28e+00,0.00e+00
-1.9400001038e-03,2.32e+00,0.00e+00
-1.9300001441e-03,2.28e+00,1.60e-02
-1.9200001843e-03,2.28e+00,1.60e-02
-1.9100001082e-03,2.28e+00,0.00e+00
-1.9000001485e-03,2.24e+00,0.00e+00
-1.8900000723e-03,2.32e+00,4.00e-02
-1.8800001126e-03,2.24e+00,1.60e-02
-1.8700001528e-03,2.28e+00,0.00e+00
-1.8600000767e-03,2.24e+00,8.00e-03
-1.8500001170e-03,2.24e+00,0.00e+00
-1.8400001572e-03,2.24e+00,-1.60e-02
-1.8300000811e-03,2.20e+00,3.20e-02
-1.8200001214e-03,2.24e+00,1.60e-02
-1.8100001616e-03,2.20e+00,0.00e+00
-1.8000000855e-03,2.20e+00,1.60e-02
-1.7900001258e-03,2.24e+00,-8.00e-03
-1.7800001660e-03,2.20e+00,0.00e+00
-1.7700000899e-03,2.24e+00,1.60e-02
-1.7600001302e-03,2.20e+00,1.60e-02
-1.7500001704e-03,2.20e+00,0.00e+00
-1.7400000943e-03,2.20e+00,2.40e-02
-1.7300001346e-03,2.20e+00,0.00e+00
-1.7200000584e-03,2.20e+00,1.60e-02
-1.7100000987e-03,2.20e+00,0.00e+00
-1.7000001390e-03,2.20e+00,3.20e-02
-1.6900000628e-03,2.16e+00,0.00e+00
-1.6800001031e-03,2.20e+00,8.00e-03
-1.6700001433e-03,2.16e+00,-1.60e-02
-1.6600000672e-03,2.20e+00,1.60e-02
-1.6500001075e-03,2.16e+00,0.00e+00
-1.6400001477e-03,2.20e+00,8.00e-03
-1.6300000716e-03,2.16e+00,0.00e+00
-1.6200001119e-03,2.20e+00,0.00e+00
-1.6100001521e-03,2.16e+00,1.60e-02
-1.6000000760e-03,2.16e+00,8.00e-03
-1.5900001163e-03,2.24e+00,1.60e-02
-1.5800001565e-03,2.20e+00,0.00e+00
-1.5700000804e-03,2.16e+00,1.60e-02
-1.5600001207e-03,2.20e+00,3.20e-02
-1.5500000445e-03,2.16e+00,0.00e+00
-1.5400000848e-03,2.16e+00,-8.00e-03
-1.5300001251e-03,2.20e+00,2.40e-02
-1.5200000489e-03,2.20e+00,0.00e+00
-1.5100000892e-03,2.16e+00,1.60e-02
-1.5000001295e-03,2.20e+00,5.60e-02
-1.4900000533e-03,-2.80e+00,0.00e+00
-1.4800000936e-03,-2.44e+00,1.60e-02
-1.4700001338e-03,-2.36e+00,0.00e+00
-1.4600000577e-03,-2.44e+00,1.60e-02
-1.4500000980e-03,-2.36e+00,0.00e+00
-1.4400001382e-03,-2.40e+00,8.00e-03
-1.4300000621e-03,-2.36e+00,-1.60e-02
-1.4200001024e-03,-2.40e+00,8.00e-03
-1.4100001426e-03,-2.36e+00,0.00e+00
-1.4000000665e-03,-2.36e+00,8.00e-03
-1.3900001068e-03,-2.32e+00,0.00e+00
-1.3800001470e-03,-2.36e+00,-8.00e-03
-1.3700000709e-03,-2.32e+00,2.40e-02
-1.3600001112e-03,-2.32e+00,0.00e+00
-1.3500000350e-03,-2.32e+00,1.60e-02
-1.3400000753e-03,-2.32e+00,1.60e-02
-1.3300001156e-03,-2.36e+00,0.00e+00
-1.3200000394e-03,-2.32e+00,1.60e-02
-1.3100000797e-03,-2.28e+00,-1.60e-02
-1.3000001200e-03,-2.32e+00,1.60e-02
-1.2900000438e-03,-2.28e+00,-1.60e-02
-1.2800000841e-03,-2.28e+00,8.00e-03
-1.2700001244e-03,-2.32e+00,8.00e-03
-1.2600000482e-03,-2.28e+00,0.00e+00
-1.2500000885e-03,-2.28e+00,1.60e-02
-1.2400001287e-03,-2.28e+00,1.60e-02
-1.2300000526e-03,-2.28e+00,0.00e+00
-1.2200000929e-03,-2.28e+00,0.00e+00
-1.2100001331e-03,-2.20e+00,4.00e-02
-1.2000000570e-03,-2.28e+00,0.00e+00
-1.1900000973e-03,-2.20e+00,1.60e-02
-1.1800000211e-03,-2.28e+00,0.00e+00
-1.1700000614e-03,-2.16e+00,1.60e-02
-1.1600001017e-03,-2.16e+00,1.60e-02
-1.1500000255e-03,-2.28e+00,-8.00e-03
-1.1400000658e-03,-2.20e+00,-8.00e-03
-1.1300001061e-03,-2.28e+00,1.60e-02
-1.1200000299e-03,-2.28e+00,0.00e+00
-1.1100000702e-03,-2.16e+00,1.60e-02
-1.1000001105e-03,-2.20e+00,-8.00e-03
-1.0900000343e-03,-2.28e+00,2.40e-02
-1.0800000746e-03,-2.16e+00,1.60e-02
-1.0700001149e-03,-2.28e+00,0.00e+00
-1.0600000387e-03,-2.28e+00,-8.00e-03
-1.0500000790e-03,-2.16e+00,1.60e-02
-1.0400001192e-03,-2.28e+00,-1.60e-02
-1.0300000431e-03,-2.16e+00,2.40e-02
-1.0200000834e-03,-2.20e+00,0.00e+00
-1.0100001236e-03,-2.28e+00,8.00e-03
-1.0000000475e-03,2.28e+00,2.40e-02
-9.9000008777e-04,2.44e+00,-8.00e-03
-9.8000001162e-04,2.40e+00,8.00e-03
-9.7000005189e-04,2.32e+00,5.60e-02
-9.6000009216e-04,2.32e+00,2.40e-02
-9.5000007423e-04,2.28e+00,0.00e+00
-9.4000005629e-04,2.32e+00,1.60e-02
-9.3000003835e-04,2.28e+00,-8.00e-03
-9.2000007862e-04,2.32e+00,0.00e+00
-9.1000006068e-04,2.24e+00,1.60e-02
-9.0000004275e-04,2.24e+00,2.40e-02
-8.9000008302e-04,2.28e+00,0.00e+00
-8.8000006508e-04,2.28e+00,1.60e-02
-8.7000004714e-04,2.24e+00,0.00e+00
-8.6000002921e-04,2.24e+00,-8.00e-03
-8.5000006948e-04,2.28e+00,1.60e-02
-8.4000005154e-04,2.24e+00,8.00e-03
-8.3000003360e-04,2.20e+00,2.40e-02
-8.2000007387e-04,2.24e+00,-8.00e-03
-8.1000005594e-04,2.20e+00,1.60e-02
-8.0000003800e-04,2.28e+00,1.60e-02
-7.9000007827e-04,2.20e+00,-8.00e-03
-7.8000006033e-04,2.20e+00,0.00e+00
-7.7000004239e-04,2.24e+00,2.40e-02
-7.6000002446e-04,2.24e+00,8.00e-03
-7.5000006473e-04,2.16e+00,-1.60e-02
-7.4000004679e-04,2.20e+00,1.60e-02
-7.3000002885e-04,2.16e+00,8.00e-03
-7.2000006912e-04,2.20e+00,8.00e-03
-7.1000005119e-04,2.20e+00,2.40e-02
-7.0000003325e-04,2.16e+00,0.00e+00
-6.9000007352e-04,2.24e+00,6.40e-02
-6.8000005558e-04,2.20e+00,2.40e-02
-6.7000003764e-04,2.16e+00,0.00e+00
-6.6000001971e-04,2.20e+00,-1.60e-02
-6.5000005998e-04,2.08e+00,1.60e-02
-6.4000004204e-04,2.16e+00,0.00e+00
-6.3000002410e-04,2.24e+00,1.60e-02
-6.2000006437e-04,2.16e+00,1.60e-02
-6.1000004644e-04,2.20e+00,0.00e+00
-6.0000002850e-04,2.20e+00,8.00e-03
-5.9000001056e-04,2.16e+00,-8.00e-03
-5.8000005083e-04,2.16e+00,1.60e-02
-5.7000003289e-04,2.20e+00,-8.00e-03
-5.6000001496e-04,2.16e+00,1.60e-02
-5.5000005523e-04,2.20e+00,0.00e+00
-5.4000003729e-04,2.16e+00,1.60e-02
-5.3000001935e-04,2.20e+00,0.00e+00
-5.2000005962e-04,2.16e+00,0.00e+00
-5.1000004169e-04,2.20e+00,3.20e-02
-5.0000002375e-04,2.16e+00,5.60e-02
-4.9000000581e-04,-2.80e+00,-8.00e-03
-4.8000004608e-04,-2.48e+00,1.60e-02
-4.7000002814e-04,-2.40e+00,-8.00e-03
-4.6000003931e-04,-2.44e+00,1.60e-02
-4.5000002137e-04,-2.36e+00,-1.60e-02
-4.4000003254e-04,-2.40e+00,8.00e-03
-4.3000001460e-04,-2.36e+00,-8.00e-03
-4.2000002577e-04,-2.40e+00,1.60e-02
-4.1000003694e-04,-2.32e+00,0.00e+00
-4.0000001900e-04,-2.32e+00,4.00e-02
-3.9000003017e-04,-2.36e+00,-8.00e-03
-3.8000001223e-04,-2.36e+00,1.60e-02
-3.7000002339e-04,-2.32e+00,-8.00e-03
-3.6000003456e-04,-2.32e+00,1.60e-02
-3.5000001662e-04,-2.32e+00,0.00e+00
-3.4000002779e-04,-2.32e+00,1.60e-02
-3.3000000985e-04,-2.36e+00,-8.00e-03
-3.2000002102e-04,-2.32e+00,0.00e+00
-3.1000003219e-04,-2.28e+00,1.60e-02
-3.0000001425e-04,-2.28e+00,1.60e-02
-2.9000002542e-04,-2.32e+00,-1.60e-02
-2.8000000748e-04,-2.28e+00,2.40e-02
-2.7000001865e-04,-2.32e+00,0.00e+00
-2.6000002981e-04,-2.32e+00,8.00e-03
-2.5000001187e-04,-2.28e+00,1.60e-02
-2.4000002304e-04,-2.20e+00,0.00e+00
-2.3000001966e-04,-2.32e+00,2.40e-02
-2.2000001627e-04,-2.28e+00,8.00e-03
-2.1000001288e-04,-2.20e+00,1.60e-02
-2.0000000950e-04,-2.28e+00,2.40e-02
-1.9000000611e-04,-2.16e+00,0.00e+00
-1.8000001728e-04,-2.28e+00,0.00e+00
-1.7000001390e-04,-2.16e+00,5.60e-02
-1.6000001051e-04,-2.20e+00,0.00e+00
-1.5000000712e-04,-2.28e+00,3.20e-02
-1.4000000374e-04,-2.20e+00,1.60e-02
-1.3000001491e-04,-2.28e+00,0.00e+00
-1.2000001152e-04,-2.28e+00,1.60e-02
-1.1000000814e-04,-2.20e+00,-8.00e-03
-1.0000000475e-04,-2.20e+00,-8.00e-03
-9.0000008640e-05,-2.28e+00,1.60e-02
-8.0000005255e-05,-2.28e+00,0.00e+00
-7.0000001870e-05,-2.16e+00,1.60e-02
-6.0000005760e-05,-2.20e+00,-1.60e-02
